gj04	1		The dog chased the cat across the yard.
gj04	0	*	The dog chased cat the across yard.
c_81	1		She wants to read an interesting new book.
c_81	0	*	She wants reading an interesting new book.
w_76	1		They knew that the exam was difficult.
w_76	0	*	They knew that was difficult the exam.
b_02	1		John gave Mary a very thoughtful gift.
b_02	0	*	John gave to Mary a very gift.
m_02	1		The car stopped suddenly at the red light.
m_02	0	*	The car stopped sudden at red the light.
ks95	1		We walked along the river bank in the evening.
ks95	0	*	We walked river bank the along in evening.
kl93	1		Every student completed the assignment on time.
kl93	0	*	Every student assignment completed on time.
bc74	1		Which book did you decide to read yesterday?
bc74	0	*	Which did book you decide read yesterday?
ad03	1		The cake tastes sweet and delicious.
ad03	0	*	The cake taste sweet and deliciousness.
cl01	1		He believes that truth will eventually prevail.
cl01	0	*	He believes truth that will prevail eventually.
